date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:43	250/250	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Aug%202019%2018:22:44%20GMT	http://TheAngeloF:TheAngeloF64@myanimelist.net/profile/TheAngeloF	C:/My%20Web%20Sites/REAL%20MYANIMELIST/myanimelist.net/profile/TheAngeloF.0.delayed	(from )
14:22:44	56538/56538	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Aug%202019%2018:22:45%20GMT	https://myanimelist.net/profile/TheAngeloF	C:/My%20Web%20Sites/REAL%20MYANIMELIST/myanimelist.net/profile/TheAngeloF.html	(from )
14:22:44	177/177	---M-Z	200	added ('OK')	text/plain	date:Wed,%2013%20Feb%202019%2005:38:40%20GMT	https://myanimelist.net/robots.txt		(from )
14:22:44	1801/1801	---M--	200	added ('OK')	image/png	etag:%222719b2b5830dafae60226386191523af%22	https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png	(from https://myanimelist.net/profile/TheAngeloF)
14:23:06	375484/375484	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2011%20Aug%202019%2017:56:06%20UTC	http://tags-cdn.deployads.com/a/myanimelist.net.js	C:/My%20Web%20Sites/REAL%20MYANIMELIST/tags-cdn.deployads.com/a/myanimelist.net.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:06	568842/568842	---M--	200	added ('OK')	text/css	etag:%22d916144d35d605aefe8a4de809467162%22	https://cdn.myanimelist.net/static/assets/css/pc/style-d916144d35.css	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/static/assets/css/pc/style-d916144d35.css	(from https://myanimelist.net/profile/TheAngeloF)
14:23:07	36336/36336	---MC-	200	added ('OK')	text/javascript	date:Sun,%2011%20Aug%202019%2018:22:49%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/My%20Web%20Sites/REAL%20MYANIMELIST/www.googletagservices.com/tag/js/gpt.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:07	285060/285060	---M--	200	added ('OK')	application/javascript	etag:%2253b5ae17092390a34fa9571f4ea5d33d%22	https://cdn.myanimelist.net/static/assets/js/pc/header-53b5ae1709.js	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/static/assets/js/pc/header-53b5ae1709.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:07	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2011%20Aug%202019%2018:23:09%20GMT	https://cdn.myanimelist.net/js/profile.js?v=66	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/js/profile.887d9.delayed	(from https://myanimelist.net/profile/TheAngeloF)
14:23:11	762/762	---MC-	200	added ('OK')	text/javascript	date:Sun,%2011%20Aug%202019%2018:23:12%20GMT	https://www.google.com/recaptcha/api.js?hl=en	C:/My%20Web%20Sites/REAL%20MYANIMELIST/www.google.com/recaptcha/apifef7.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:12	6063/6063	---M--	200	added ('OK')	image/png	etag:%22056e4af9e7994bdc1af4793571eeadce%22	https://cdn.myanimelist.net/images/ad/help_kyoani_heal_250_36.png?v=1	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/images/ad/help_kyoani_heal_250_363860.png	(from https://myanimelist.net/profile/TheAngeloF)
14:23:15	23730/23730	---M--	200	added ('OK')	image/jpeg	etag:%225cb2-58fd5d334b364%22	https://cdn.myanimelist.net/images/userimages/6779991.jpg	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/images/userimages/6779991.jpg	(from https://myanimelist.net/profile/TheAngeloF)
14:23:15	44343/44343	---MC-	200	added ('OK')	text/javascript	date:Mon,%2029%20Jul%202019%2021:35:27%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/REAL%20MYANIMELIST/www.google-analytics.com/analytics.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:16	896106/896106	---M--	200	added ('OK')	application/javascript	etag:%2203bc25fbfc1880da365afb792fa9e555%22	https://cdn.myanimelist.net/static/assets/js/pc/all-03bc25fbfc.js	C:/My%20Web%20Sites/REAL%20MYANIMELIST/cdn.myanimelist.net/static/assets/js/pc/all-03bc25fbfc.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:16	44539/44539	---MC-	200	added ('OK')	application/javascript	date:Sun,%2011%20Aug%202019%2018:23:12%20GMT	https://apis.google.com/js/platform.js	C:/My%20Web%20Sites/REAL%20MYANIMELIST/apis.google.com/js/platform.js	(from https://myanimelist.net/profile/TheAngeloF)
14:23:17	32597/32597	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Aug%202019%2018:23:19%20GMT	https://myanimelist.net/profile/TheAngeloF/reviews	C:/My%20Web%20Sites/REAL%20MYANIMELIST/myanimelist.net/profile/TheAngeloF/reviews.e.delayed	(from https://myanimelist.net/profile/TheAngeloF)
